Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-04-10T05:40:00,60,ABK,18.82,68.35,101.70,65.74,7.57,24.26,9.77,77.66,-135.0,5.8,-238.2,-134.1,-17.2,-238.2
2022-04-10T05:40:00,60,AND,16.03,69.30,100.22,66.86,7.48,23.14,8.46,78.80,-158.8,46.9,-363.0,-163.9,23.0,-363.0
2022-04-10T05:40:00,60,ARS,58.57,56.43,132.43,52.90,9.62,37.10,15.17,56.37,-19.1,-38.6,-2.1,-8.4,-42.2,-2.1
2022-04-10T05:40:00,60,ATU,306.43,67.93,38.19,73.99,3.34,16.01,-28.94,100.99,-223.8,-67.6,266.5,-228.6,49.1,266.5
2022-04-10T05:40:00,60,BDV,14.02,49.07,89.64,44.35,6.77,45.65,4.55,78.33,37.3,0.5,-5.3,37.2,3.5,-5.3
2022-04-10T05:40:00,60,BEL,20.80,51.83,96.27,47.71,7.21,42.29,6.52,74.23,33.4,-12.4,-11.4,34.6,-8.5,-11.4
2022-04-10T05:40:00,60,BFE,11.67,55.62,89.56,52.27,6.76,37.73,4.40,79.88,38.8,-0.7,-35.2,38.7,2.2,-35.2
2022-04-10T05:40:00,60,BFO,8.33,48.33,84.57,43.41,6.43,46.59,3.12,82.09,39.6,3.7,-8.3,39.3,5.9,-8.3
2022-04-10T05:40:00,60,BJN,19.20,74.50,107.71,71.89,7.97,18.11,12.11,78.66,-504.7,473.7,40.9,-592.8,357.3,40.9
2022-04-10T05:40:00,60,BLC,263.99,64.32,-30.06,73.60,22.79,16.40,-1.71,107.23,-94.4,-175.0,323.5,-99.6,-172.1,323.5
2022-04-10T05:40:00,60,BRD,260.03,49.87,-33.04,59.20,22.59,30.80,5.24,120.66,-33.5,2.1,59.4,-33.5,-1.0,59.4
2022-04-10T05:40:00,60,BRW,203.38,71.32,-106.49,70.64,17.69,19.36,12.49,88.12,-88.9,-27.7,-205.3,-80.8,-46.3,-205.3
2022-04-10T05:40:00,60,C04,251.74,50.06,-44.33,58.14,21.84,31.86,10.90,118.46,19.9,-100.6,-115.2,38.6,-95.0,-115.2
2022-04-10T05:40:00,60,C06,247.03,53.35,-51.24,60.64,21.38,29.36,13.92,114.17,nan,nan,nan,nan,nan,nan
2022-04-10T05:40:00,60,C07,233.31,65.26,-73.47,69.85,19.90,20.15,20.41,100.51,-290.5,-126.1,-253.6,-228.3,-219.5,-253.6
2022-04-10T05:40:00,60,CBB,254.97,69.12,-47.81,77.05,21.61,12.95,7.46,101.64,-23.2,-201.6,244.5,3.2,-202.9,244.5
2022-04-10T05:40:00,60,CDC,283.40,64.20,3.04,73.47,1.00,16.53,-22.84,107.60,-133.4,-76.7,318.4,-152.7,-18.9,318.4
2022-04-10T05:40:00,60,CHC,276.00,64.35,-9.45,73.97,0.16,16.03,-16.75,107.70,-41.9,-125.1,309.6,-76.2,-107.7,309.6
2022-04-10T05:40:00,60,CLF,2.27,48.02,79.42,43.11,6.09,46.89,1.46,86.15,32.8,15.1,-3.6,32.4,16.0,-3.6
2022-04-10T05:40:00,60,CMO,212.14,64.87,-93.82,65.45,18.54,24.55,16.37,93.69,260.4,54.3,-246.9,234.5,125.5,-246.9
2022-04-10T05:40:00,60,CPS,180.63,68.88,-120.92,65.37,16.73,24.63,0.93,80.89,103.9,44.1,-20.4,103.1,45.8,-20.4
2022-04-10T05:40:00,60,DAW,220.89,64.05,-85.34,66.24,19.10,23.76,18.97,97.33,177.0,-53.1,-367.8,184.6,7.3,-367.8
2022-04-10T05:40:00,60,DMH,341.37,76.77,84.38,77.34,6.42,12.66,-14.25,87.57,-89.4,135.1,496.6,-53.4,152.9,496.6
2022-04-10T05:40:00,60,DOB,9.11,62.07,90.19,59.64,6.81,30.36,3.79,81.22,3.9,35.5,-126.0,1.5,35.7,-126.0
2022-04-10T05:40:00,60,DON,12.50,66.11,95.19,63.75,7.14,26.25,5.87,79.84,-97.2,50.0,-190.5,-101.8,39.8,-190.5
2022-04-10T05:40:00,60,EAG,218.84,64.78,-87.77,66.59,18.94,23.41,18.53,96.19,104.5,-13.3,-353.8,103.3,20.6,-353.8
2022-04-10T05:40:00,60,ESK,356.80,55.32,77.25,52.74,5.94,37.26,-1.09,88.28,26.6,35.6,-39.2,27.3,35.1,-39.2
2022-04-10T05:40:00,60,FCC,265.91,58.76,-25.59,68.50,23.09,21.50,-1.58,112.86,-387.1,-173.1,67.5,-391.8,-162.4,67.5
2022-04-10T05:40:00,60,FHB,310.32,62.00,39.05,67.41,3.40,22.59,-23.50,105.01,-412.5,86.6,110.3,-343.8,243.9,110.3
2022-04-10T05:40:00,60,FMC,248.79,56.66,-50.02,64.28,21.46,25.72,13.65,111.80,nan,nan,nan,nan,nan,nan
2022-04-10T05:40:00,60,FSP,238.77,61.76,-64.89,67.47,20.47,22.53,18.87,104.75,-113.9,114.0,-271.6,-144.7,71.1,-271.6
2022-04-10T05:40:00,60,FUR,11.28,48.17,87.05,43.20,6.60,46.80,3.84,80.14,36.0,2.5,-4.2,35.8,4.9,-4.2
2022-04-10T05:40:00,60,FYU,214.78,66.56,-92.75,67.65,18.61,22.35,17.42,93.83,5.4,17.1,-341.1,0.1,18.0,-341.1
2022-04-10T05:40:00,60,GDH,306.47,69.25,39.39,75.25,3.42,14.75,-30.02,99.85,-144.9,-30.3,287.4,-140.6,46.2,287.4
2022-04-10T05:40:00,60,GHB,308.27,64.17,37.85,69.98,3.32,20.02,-25.54,103.75,-372.6,-12.5,250.5,-341.5,149.3,250.5
