Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-04-10T05:30:00,60,ABK,18.82,68.35,101.70,65.74,7.41,24.26,9.77,78.58,-68.4,37.4,-207.6,-73.7,25.3,-207.6
2022-04-10T05:30:00,60,AND,16.03,69.30,100.22,66.86,7.31,23.14,8.46,79.68,-117.4,73.9,-326.8,-127.0,55.8,-326.8
2022-04-10T05:30:00,60,ARS,58.57,56.43,132.43,52.90,9.46,37.10,15.17,57.38,-7.3,-39.8,-0.4,3.3,-40.3,-0.4
2022-04-10T05:30:00,60,ATU,306.43,67.93,38.19,73.99,3.17,16.01,-28.94,101.46,-142.4,-80.4,214.5,-163.5,-1.5,214.5
2022-04-10T05:30:00,60,BDV,14.02,49.07,89.64,44.35,6.60,45.65,4.55,79.97,41.1,18.7,-6.8,39.5,21.9,-6.8
2022-04-10T05:30:00,60,BEL,20.80,51.83,96.27,47.71,7.05,42.29,6.52,75.77,46.6,5.3,-6.5,45.7,10.6,-6.5
2022-04-10T05:30:00,60,BFE,11.67,55.62,89.56,52.27,6.60,37.73,4.40,81.29,62.1,28.3,-23.4,59.7,33.0,-23.4
2022-04-10T05:30:00,60,BFO,8.33,48.33,84.57,43.41,6.27,46.59,3.12,83.75,39.8,23.6,-6.4,38.4,25.7,-6.4
2022-04-10T05:30:00,60,BJN,19.20,74.50,107.71,71.89,7.81,18.11,12.11,79.32,-699.7,40.2,-46.9,-692.6,-107.4,-46.9
2022-04-10T05:30:00,60,BLC,263.99,64.32,-30.06,73.60,22.63,16.40,-1.71,106.99,-184.2,-244.5,442.2,-191.5,-238.9,442.2
2022-04-10T05:30:00,60,BRD,260.03,49.87,-33.04,59.20,22.43,30.80,5.24,120.13,-37.7,-156.3,-272.2,-23.2,-159.1,-272.2
2022-04-10T05:30:00,60,BRW,203.38,71.32,-106.49,70.64,17.53,19.36,12.49,87.36,-44.9,-139.0,-229.6,-13.8,-145.5,-229.6
2022-04-10T05:30:00,60,C04,251.74,50.06,-44.33,58.14,21.67,31.86,10.90,117.71,29.7,-47.9,-123.0,38.2,-41.4,-123.0
2022-04-10T05:30:00,60,C06,247.03,53.35,-51.24,60.64,21.21,29.36,13.92,113.38,nan,nan,nan,nan,nan,nan
2022-04-10T05:30:00,60,C07,233.31,65.26,-73.47,69.85,19.73,20.15,20.41,99.79,-153.4,-49.2,-199.9,-126.6,-99.6,-199.9
2022-04-10T05:30:00,60,CBB,254.97,69.12,-47.81,77.05,21.44,12.95,7.46,101.31,-167.9,-279.5,327.4,-130.2,-298.9,327.4
