Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-08-30T04:50:00,60,ABK,18.82,68.35,101.70,65.74,6.76,24.26,9.87,81.21,nan,nan,nan,nan,nan,nan
2022-08-30T04:50:00,60,AND,16.03,69.30,100.22,66.86,6.66,23.14,8.57,82.16,-203.4,137.4,-133.7,-221.6,105.6,-133.7
2022-08-30T04:50:00,60,ARS,58.57,56.43,132.43,52.90,8.81,37.10,15.20,60.80,-7.4,-28.6,0.8,0.3,-29.5,0.8
2022-08-30T04:50:00,60,ATU,306.43,67.93,38.19,73.99,2.52,16.01,-28.75,101.91,-150.2,-48.3,248.9,-154.9,29.9,248.9
2022-08-30T04:50:00,60,BDV,14.02,49.07,89.64,44.35,5.95,45.65,4.61,85.59,22.2,5.6,-7.2,21.7,7.4,-7.2
2022-08-30T04:50:00,60,BEL,20.80,51.83,96.27,47.71,6.40,42.29,6.58,81.01,18.8,5.6,-9.0,18.0,7.7,-9.0
2022-08-30T04:50:00,60,BFE,11.67,55.62,89.56,52.27,5.95,37.73,4.48,85.94,15.2,9.6,-18.7,14.4,10.8,-18.7
2022-08-30T04:50:00,60,BFO,8.33,48.33,84.57,43.41,5.62,46.59,3.18,89.41,20.1,14.4,-4.5,19.3,15.5,-4.5
2022-08-30T04:50:00,60,BJN,19.20,74.50,107.71,71.89,7.16,18.11,12.24,80.92,-224.4,261.6,15.0,-274.8,208.0,15.0
2022-08-30T04:50:00,60,BLC,263.99,64.32,-30.06,73.60,21.98,16.40,-1.65,104.53,-81.0,-92.0,79.1,-83.6,-89.6,79.1
2022-08-30T04:50:00,60,BRD,260.03,49.87,-33.04,59.20,21.78,30.80,5.21,116.37,-26.4,65.5,19.6,-32.3,62.9,19.6
2022-08-30T04:50:00,60,BRW,203.38,71.32,-106.49,70.64,16.88,19.36,12.31,83.28,255.0,11.5,-231.0,246.7,65.6,-231.0
2022-08-30T04:50:00,60,C04,251.74,50.06,-44.33,58.14,21.02,31.86,10.87,113.16,-46.8,34.2,8.8,-52.4,24.7,8.8
2022-08-30T04:50:00,60,C06,247.03,53.35,-51.24,60.64,20.56,29.36,13.88,108.76,2.8,44.6,44.6,-8.0,43.9,44.6
2022-08-30T04:50:00,60,C07,233.31,65.26,-73.47,69.85,19.08,20.15,20.30,95.66,122.9,-130.4,-159.9,160.5,-79.7,-159.9
2022-08-30T04:50:00,60,C13,239.97,51.88,-59.30,57.77,20.03,32.23,16.05,106.68,-23.8,35.2,30.0,-32.7,27.3,30.0
2022-08-30T04:50:00,60,CBB,254.97,69.12,-47.81,77.05,20.79,12.95,7.45,98.62,-5.6,-138.5,32.0,12.4,-138.0,32.0
2022-08-30T04:50:00,60,CDC,283.40,64.20,3.04,73.47,0.18,16.53,-22.66,106.72,-67.8,-94.3,126.2,-98.9,-60.9,126.2
2022-08-30T04:50:00,60,CHC,276.00,64.35,-9.45,73.97,23.35,16.03,-16.60,106.11,-24.7,-96.0,133.3,-51.1,-85.0,133.3
2022-08-30T04:50:00,60,CLF,2.27,48.02,79.42,43.11,5.27,46.89,1.53,93.39,17.2,16.9,-4.0,16.8,17.3,-4.0
2022-08-30T04:50:00,60,CMO,212.14,64.87,-93.82,65.45,17.72,24.55,16.25,87.88,261.4,-16.0,53.3,255.4,57.8,53.3
2022-08-30T04:50:00,60,CY0,291.40,70.50,18.88,78.52,1.24,11.48,-32.80,100.45,-64.3,-76.5,210.1,-95.5,-29.5,210.1
2022-08-30T04:50:00,60,DAW,220.89,64.05,-85.34,66.24,18.29,23.76,18.85,91.69,nan,nan,nan,nan,nan,nan
2022-08-30T04:50:00,60,DMH,341.37,76.77,84.38,77.34,5.60,12.66,-14.06,88.94,-154.7,14.8,297.2,-146.5,52.0,297.2
2022-08-30T04:50:00,60,DOB,9.11,62.07,90.19,59.64,5.99,30.36,3.88,86.02,-13.2,19.7,-70.4,-14.5,18.7,-70.4
2022-08-30T04:50:00,60,DON,12.50,66.11,95.19,63.75,6.33,26.25,5.97,83.86,-95.5,53.0,-116.0,-100.5,42.8,-116.0
2022-08-30T04:50:00,60,EAG,218.84,64.78,-87.77,66.59,18.13,23.41,18.41,90.59,312.6,-1.1,-56.3,296.9,97.6,-56.3
2022-08-30T04:50:00,60,ESK,356.80,55.32,77.25,52.74,5.13,37.26,-1.00,94.10,7.6,29.4,-22.7,8.1,29.2,-22.7
2022-08-30T04:50:00,60,FCC,265.91,58.76,-25.59,68.50,22.27,21.50,-1.55,109.99,-78.7,-10.6,47.6,-79.0,-8.5,47.6
2022-08-30T04:50:00,60,FHB,310.32,62.00,39.05,67.41,2.58,22.59,-23.36,106.84,-251.6,46.0,218.1,-212.7,142.0,218.1
2022-08-30T04:50:00,60,FMC,248.79,56.66,-50.02,64.28,20.64,25.72,13.61,106.96,46.0,34.3,15.1,36.6,44.1,15.1
2022-08-30T04:50:00,60,FSP,238.77,61.76,-64.89,67.47,19.65,22.53,18.80,99.74,nan,nan,nan,nan,nan,nan
2022-08-30T04:50:00,60,FUR,11.28,48.17,87.05,43.20,5.78,46.80,3.90,87.52,19.7,12.5,-5.4,18.8,13.8,-5.4
2022-08-30T04:50:00,60,FYU,214.78,66.56,-92.75,67.65,17.80,22.35,17.28,88.39,nan,nan,nan,nan,nan,nan
2022-08-30T04:50:00,60,GDH,306.47,69.25,39.39,75.25,2.60,14.75,-29.82,100.65,-128.5,-27.4,231.9,-125.1,40.1,231.9
2022-08-30T04:50:00,60,GHB,308.27,64.17,37.85,69.98,2.50,20.02,-25.39,105.18,-180.5,-2.0,256.7,-163.9,75.6,256.7
2022-08-30T04:50:00,60,GHC,264.15,68.63,-31.68,77.54,21.87,12.46,-5.39,100.61,84.8,-99.3,77.8,75.1,-106.8,77.8
2022-08-30T04:50:00,60,GIM,265.36,56.38,-26.08,66.16,22.24,23.84,-0.30,112.06,-101.6,26.1,-9.8,-101.4,26.6,-9.8
2022-08-30T04:50:00,60,HAD,355.52,50.98,74.74,47.37,4.96,42.63,-0.92,96.48,13.5,23.1,-5.4,13.9,22.9,-5.4
2022-08-30T04:50:00,60,HAN,26.60,62.25,104.72,59.12,6.96,30.88,11.40,77.89,-7.2,-8.1,-61.8,-5.5,-9.4,-61.8
2022-08-30T04:50:00,60,HLP,18.82,54.61,95.32,50.93,6.33,39.07,6.57,82.01,14.5,6.9,-14.9,13.6,8.5,-14.9
2022-08-30T04:50:00,60,HOP,25.01,76.51,114.59,73.53,7.62,16.47,17.10,79.53,nan,nan,nan,nan,nan,nan
2022-08-30T04:50:00,60,HRB,18.19,47.86,93.03,42.92,6.18,47.08,5.39,82.99,21.3,9.2,-5.9,20.3,11.1,-5.9
2022-08-30T04:50:00,60,HRN,15.60,77.00,108.72,74.52,7.23,15.48,10.73,81.69,-239.1,307.6,141.6,-292.2,257.7,141.6
2022-08-30T04:50:00,60,IGC,278.20,69.30,-5.39,78.43,23.62,11.57,-24.74,101.41,73.4,-94.7,164.3,27.0,-116.8,164.3
2022-08-30T04:50:00,60,IQA,291.48,63.75,15.58,72.21,1.02,17.79,-25.75,107.18,-102.4,7.0,207.7,-89.2,50.8,207.7
2022-08-30T04:50:00,60,IRT,104.45,52.17,178.45,47.79,11.88,42.21,-4.66,43.24,-11.6,-21.8,5.1,-13.3,-20.8,5.1
2022-08-30T04:50:00,60,ISL,265.34,53.86,-25.79,63.70,22.26,26.30,0.22,114.35,-34.3,72.1,-42.3,-34.6,72.0,-42.3
2022-08-30T04:50:00,60,IVA,27.29,68.56,108.61,65.60,7.22,24.40,14.48,78.11,-79.4,81.9,-101.4,-97.4,59.5,-101.4
2022-08-30T04:50:00,60,JAN,351.30,70.90,82.78,70.47,5.50,19.53,-6.58,89.75,-364.9,44.7,13.5,-357.4,86.2,13.5
2022-08-30T04:50:00,60,JCK,16.98,66.40,98.94,63.82,6.58,26.18,8.36,82.03,-94.9,48.6,-124.0,-101.0,34.3,-124.0
2022-08-30T04:50:00,60,JCO,211.20,70.36,-99.27,70.86,17.36,19.14,15.89,85.99,204.3,18.2,-357.2,191.5,73.4,-357.2
2022-08-30T04:50:00,60,KAR,5.24,59.21,85.69,56.70,5.69,33.30,2.14,88.53,8.8,23.9,-35.5,7.9,24.2,-35.5
2022-08-30T04:50:00,60,KEV,27.01,69.76,109.22,66.82,7.26,23.18,14.91,78.33,-94.5,122.2,-133.1,-122.7,93.8,-133.1
2022-08-30T04:50:00,60,KHB,134.69,47.61,-151.91,41.44,13.85,48.56,-12.11,44.86,-11.2,-16.8,3.4,-14.5,-14.1,3.4
2022-08-30T04:50:00,60,KIL,20.77,69.06,103.75,66.37,6.90,23.63,11.18,80.49,-112.9,123.3,-121.4,-134.6,99.1,-121.4
2022-08-30T04:50:00,60,KIR,20.42,67.84,102.62,65.14,6.82,24.86,10.58,80.63,-106.4,70.0,-109.4,-117.4,49.3,-109.4
2022-08-30T04:50:00,60,KUV,302.82,74.57,41.92,80.69,2.77,9.31,-35.50,95.90,57.2,-49.8,184.7,17.6,-73.8,184.7
2022-08-30T04:50:00,60,LER,358.82,60.13,80.96,58.20,5.38,31.80,-0.77,91.33,-0.3,31.1,-63.0,0.1,31.1,-63.0
2022-08-30T04:50:00,60,LET,247.13,49.64,-50.07,56.88,20.64,33.12,13.09,111.51,nan,nan,nan,nan,nan,nan
2022-08-30T04:50:00,60,LON,16.66,45.41,91.18,39.82,6.06,50.18,4.81,84.31,19.3,6.1,-2.6,18.7,7.7,-2.6
2022-08-30T04:50:00,60,LRV,338.30,64.18,66.72,65.01,4.43,24.99,-12.27,97.58,-207.9,110.6,-66.8,-179.7,152.3,-66.8
2022-08-30T04:50:00,60,LVV,23.75,49.90,98.46,45.49,6.54,44.51,6.86,79.22,12.5,-0.2,-6.8,12.5,1.3,-6.8
2022-08-30T04:50:00,60,LYC,18.75,64.61,99.33,61.87,6.60,28.13,8.77,81.41,nan,nan,nan,nan,nan,nan
