Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-04-10T05:00:00,60,ABK,18.82,68.35,101.70,65.74,6.91,24.26,9.77,81.35,-456.2,133.2,-46.8,-472.2,53.8,-46.8
2022-04-10T05:00:00,60,AND,16.03,69.30,100.22,66.86,6.81,23.14,8.46,82.34,-553.5,271.5,171.4,-587.4,187.1,171.4
2022-04-10T05:00:00,60,ARS,58.57,56.43,132.43,52.90,8.96,37.10,15.17,60.66,-64.1,2.4,3.1,-62.5,-14.5,3.1
2022-04-10T05:00:00,60,ATU,306.43,67.93,38.19,73.99,2.68,16.01,-28.94,102.67,-157.6,-121.9,185.0,-196.9,-30.4,185.0
2022-04-10T05:00:00,60,BDV,14.02,49.07,89.64,44.35,6.11,45.65,4.55,84.88,0.2,-2.5,-2.8,0.4,-2.5,-2.8
2022-04-10T05:00:00,60,BEL,20.80,51.83,96.27,47.71,6.55,42.29,6.52,80.40,-7.9,-12.0,-11.1,-6.5,-12.8,-11.1
2022-04-10T05:00:00,60,BFE,11.67,55.62,89.56,52.27,6.10,37.73,4.40,85.52,13.7,-11.1,-21.4,14.5,-10.0,-21.4
2022-04-10T05:00:00,60,BFO,8.33,48.33,84.57,43.41,5.77,46.59,3.12,88.70,8.2,-1.0,-8.9,8.2,-0.6,-8.9
2022-04-10T05:00:00,60,BJN,19.20,74.50,107.71,71.89,7.31,18.11,12.11,81.32,-115.8,217.5,282.8,-158.8,188.4,282.8
2022-04-10T05:00:00,60,BLC,263.99,64.32,-30.06,73.60,22.13,16.40,-1.71,105.98,-652.6,-362.8,442.9,-663.2,-343.1,442.9
2022-04-10T05:00:00,60,BRD,260.03,49.87,-33.04,59.20,21.93,30.80,5.24,118.13,73.8,32.8,-238.1,70.5,39.4,-238.1
2022-04-10T05:00:00,60,BRW,203.38,71.32,-106.49,70.64,17.03,19.36,12.49,85.04,-346.1,86.8,-325.8,-356.7,9.9,-325.8
2022-04-10T05:00:00,60,C04,251.74,50.06,-44.33,58.14,21.18,31.86,10.90,115.07,33.3,161.6,-96.0,2.1,165.0,-96.0
2022-04-10T05:00:00,60,C06,247.03,53.35,-51.24,60.64,20.72,29.36,13.92,110.67,nan,nan,nan,nan,nan,nan
2022-04-10T05:00:00,60,C07,233.31,65.26,-73.47,69.85,19.23,20.15,20.41,97.45,-428.4,-132.7,-193.7,-355.2,-273.7,-193.7
2022-04-10T05:00:00,60,CBB,254.97,69.12,-47.81,77.05,20.95,12.95,7.46,100.11,-509.2,-451.5,263.3,-446.3,-513.8,263.3
2022-04-10T05:00:00,60,CDC,283.40,64.20,3.04,73.47,0.34,16.53,-22.84,107.85,-255.7,-565.0,239.9,-455.0,-421.5,239.9
2022-04-10T05:00:00,60,CHC,276.00,64.35,-9.45,73.97,23.50,16.03,-16.75,107.37,-473.6,-466.5,767.8,-588.0,-310.2,767.8
2022-04-10T05:00:00,60,CLF,2.27,48.02,79.42,43.11,5.43,46.89,1.46,92.71,4.7,8.5,-4.5,4.5,8.6,-4.5
