Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-08-08T05:50:00,60,ABK,18.82,68.35,101.70,65.74,7.66,24.26,9.86,69.55,nan,nan,nan,nan,nan,nan
2022-08-08T05:50:00,60,AND,16.03,69.30,100.22,66.86,7.56,23.14,8.56,70.66,-204.4,42.1,15.1,-208.4,11.2,15.1
2022-08-08T05:50:00,60,ARS,58.57,56.43,132.43,52.90,9.71,37.10,15.20,48.34,-58.5,8.3,-2.4,-58.6,-7.3,-2.4
2022-08-08T05:50:00,60,ATU,306.43,67.93,38.19,73.99,3.43,16.01,-28.78,92.69,68.6,69.2,151.3,93.4,27.6,151.3
2022-08-08T05:50:00,60,BDV,14.02,49.07,89.64,44.35,6.85,45.65,4.60,71.32,-31.3,-11.3,4.4,-30.3,-13.7,4.4
2022-08-08T05:50:00,60,BEL,20.80,51.83,96.27,47.71,7.30,42.29,6.57,67.00,-42.1,-6.8,-0.6,-41.0,-11.6,-0.6
2022-08-08T05:50:00,60,BFE,11.67,55.62,89.56,52.27,6.85,37.73,4.47,72.40,-42.2,-29.5,-20.2,-39.8,-32.7,-20.2
2022-08-08T05:50:00,60,BFO,8.33,48.33,84.57,43.41,6.52,46.59,3.17,75.13,-25.8,-10.6,1.9,-25.1,-12.1,1.9
2022-08-08T05:50:00,60,BJN,19.20,74.50,107.71,71.89,8.06,18.11,12.22,70.40,153.1,-73.4,214.9,165.1,-39.3,214.9
2022-08-08T05:50:00,60,BLC,263.99,64.32,-30.06,73.60,22.88,16.40,-1.66,99.18,44.2,-66.9,199.2,42.3,-68.1,199.2
2022-08-08T05:50:00,60,BRD,260.03,49.87,-33.04,59.20,22.68,30.80,5.22,112.87,-38.1,39.4,-157.0,-41.5,35.8,-157.0
2022-08-08T05:50:00,60,BRW,203.38,71.32,-106.49,70.64,17.78,19.36,12.34,80.75,129.0,-249.6,-110.6,179.3,-216.3,-110.6
2022-08-08T05:50:00,60,C04,251.74,50.06,-44.33,58.14,21.92,31.86,10.88,110.98,-40.3,90.4,-56.5,-56.6,81.2,-56.5
2022-08-08T05:50:00,60,C06,247.03,53.35,-51.24,60.64,21.46,29.36,13.89,106.76,-53.4,104.3,-131.2,-76.9,88.5,-131.2
2022-08-08T05:50:00,60,C07,233.31,65.26,-73.47,69.85,19.98,20.15,20.32,93.03,2.9,-87.5,68.1,33.1,-81.0,68.1
2022-08-08T05:50:00,60,C13,239.97,51.88,-59.30,57.77,20.93,32.23,16.05,105.86,-51.7,116.9,10.5,-82.0,98.1,10.5
2022-08-08T05:50:00,60,CBB,254.97,69.12,-47.81,77.05,21.69,12.95,7.45,93.68,22.5,-118.8,85.1,37.7,-114.9,85.1
2022-08-08T05:50:00,60,CDC,283.40,64.20,3.04,73.47,1.08,16.53,-22.69,99.34,-4.9,75.0,145.6,24.4,71.1,145.6
2022-08-08T05:50:00,60,CHC,276.00,64.35,-9.45,73.97,0.25,16.03,-16.62,99.50,50.5,55.5,170.1,64.3,38.8,170.1
2022-08-08T05:50:00,60,CLF,2.27,48.02,79.42,43.11,6.17,46.89,1.52,79.16,-20.8,-12.0,2.4,-20.4,-12.6,2.4
2022-08-08T05:50:00,60,CMO,212.14,64.87,-93.82,65.45,18.62,24.55,16.26,86.64,77.7,-76.6,-196.3,96.0,-51.8,-196.3
2022-08-08T05:50:00,60,CY0,291.40,70.50,18.88,78.52,2.14,11.48,-32.84,92.52,113.9,64.8,62.3,130.8,-7.4,62.3
2022-08-08T05:50:00,60,DAW,220.89,64.05,-85.34,66.24,19.19,23.76,18.87,90.17,nan,nan,nan,nan,nan,nan
