Date_UTC,Extent,IAGA,GEOLON,GEOLAT,MAGON,MAGLAT,MLT,MCOLAT,IGRF_DECL,SZA,dbn_nez,dbe_nez,dbz_nez,dbn_geo,dbe_geo,dbz_geo
2022-08-08T05:40:00,60,ABK,18.82,68.35,101.70,65.74,7.50,24.26,9.86,70.47,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,AND,16.03,69.30,100.22,66.86,7.40,23.14,8.56,71.54,-184.3,28.7,-121.7,-186.5,0.9,-121.7
2022-08-08T05:40:00,60,ARS,58.57,56.43,132.43,52.90,9.54,37.10,15.20,49.39,-45.2,-4.0,-2.7,-42.5,-15.7,-2.7
2022-08-08T05:40:00,60,ATU,306.43,67.93,38.19,73.99,3.26,16.01,-28.78,93.15,58.8,28.0,146.8,65.0,-3.8,146.8
2022-08-08T05:40:00,60,BDV,14.02,49.07,89.64,44.35,6.69,45.65,4.60,72.95,-17.5,-3.4,2.2,-17.2,-4.8,2.2
2022-08-08T05:40:00,60,BEL,20.80,51.83,96.27,47.71,7.13,42.29,6.57,68.54,-20.9,-1.2,3.0,-20.6,-3.6,3.0
2022-08-08T05:40:00,60,BFE,11.67,55.62,89.56,52.27,6.69,37.73,4.47,73.80,-13.2,-12.0,-9.9,-12.2,-12.9,-9.9
2022-08-08T05:40:00,60,BFO,8.33,48.33,84.57,43.41,6.35,46.59,3.17,76.77,-13.8,0.9,0.7,-13.8,0.1,0.7
2022-08-08T05:40:00,60,BJN,19.20,74.50,107.71,71.89,7.90,18.11,12.22,71.06,152.0,-64.0,348.0,162.1,-30.4,348.0
2022-08-08T05:40:00,60,BLC,263.99,64.32,-30.06,73.60,22.71,16.40,-1.66,98.98,37.4,-46.5,131.9,36.0,-47.5,131.9
2022-08-08T05:40:00,60,BRD,260.03,49.87,-33.04,59.20,22.51,30.80,5.22,112.43,-18.7,52.3,-122.0,-23.4,50.3,-122.0
2022-08-08T05:40:00,60,BRW,203.38,71.32,-106.49,70.64,17.62,19.36,12.34,80.01,130.3,-172.0,-137.7,164.0,-140.1,-137.7
2022-08-08T05:40:00,60,C04,251.74,50.06,-44.33,58.14,21.76,31.86,10.88,110.32,-32.1,95.5,-14.1,-49.5,87.7,-14.1
2022-08-08T05:40:00,60,C06,247.03,53.35,-51.24,60.64,21.30,29.36,13.89,106.06,-19.6,111.8,-48.2,-45.9,103.8,-48.2
2022-08-08T05:40:00,60,C07,233.31,65.26,-73.47,69.85,19.82,20.15,20.32,92.36,-28.1,-78.8,-1.3,1.0,-83.6,-1.3
2022-08-08T05:40:00,60,C13,239.97,51.88,-59.30,57.77,20.76,32.23,16.05,104.97,-41.1,97.8,45.8,-66.6,82.7,45.8
2022-08-08T05:40:00,60,CBB,254.97,69.12,-47.81,77.05,21.53,12.95,7.45,93.38,45.5,-101.2,71.8,58.3,-94.4,71.8
2022-08-08T05:40:00,60,CDC,283.40,64.20,3.04,73.47,0.92,16.53,-22.69,99.49,-7.2,50.8,47.8,12.9,49.7,47.8
2022-08-08T05:40:00,60,CHC,276.00,64.35,-9.45,73.97,0.09,16.03,-16.62,99.51,19.5,56.9,105.4,35.0,49.0,105.4
2022-08-08T05:40:00,60,CLF,2.27,48.02,79.42,43.11,6.01,46.89,1.52,80.79,-10.3,1.2,1.4,-10.3,0.9,1.4
2022-08-08T05:40:00,60,CMO,212.14,64.87,-93.82,65.45,18.46,24.55,16.26,85.72,221.6,-12.7,-152.6,216.3,49.9,-152.6
2022-08-08T05:40:00,60,CY0,291.40,70.50,18.88,78.52,1.97,11.48,-32.84,92.74,103.0,48.7,55.0,112.9,-15.0,55.0
2022-08-08T05:40:00,60,DAW,220.89,64.05,-85.34,66.24,19.03,23.76,18.87,89.31,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,DMH,341.37,76.77,84.38,77.34,6.34,12.66,-14.09,79.78,121.7,99.4,39.5,142.3,66.8,39.5
2022-08-08T05:40:00,60,DOB,9.11,62.07,90.19,59.64,6.73,30.36,3.87,74.54,-14.4,-12.9,-48.3,-13.5,-13.8,-48.3
2022-08-08T05:40:00,60,DON,12.50,66.11,95.19,63.75,7.06,26.25,5.95,72.83,-63.1,-19.3,-104.5,-60.7,-25.7,-104.5
2022-08-08T05:40:00,60,EAG,218.84,64.78,-87.77,66.59,18.86,23.41,18.43,88.17,-11.4,-106.9,-125.2,22.9,-105.0,-125.2
2022-08-08T05:40:00,60,ESK,356.80,55.32,77.25,52.74,5.87,37.26,-1.01,82.12,0.2,5.9,-16.1,0.3,5.9,-16.1
2022-08-08T05:40:00,60,FCC,265.91,58.76,-25.59,68.50,23.01,21.50,-1.56,104.61,-105.8,-92.3,297.6,-108.3,-89.4,297.6
2022-08-08T05:40:00,60,FHB,310.32,62.00,39.05,67.41,3.32,22.59,-23.38,97.41,-125.5,29.4,270.9,-103.5,76.8,270.9
2022-08-08T05:40:00,60,FMC,248.79,56.66,-50.02,64.28,21.38,25.72,13.61,103.63,-52.3,236.5,-131.7,-106.4,217.5,-131.7
2022-08-08T05:40:00,60,FSP,238.77,61.76,-64.89,67.47,20.39,22.53,18.81,96.61,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,FUR,11.28,48.17,87.05,43.20,6.52,46.80,3.89,74.85,-16.2,-2.9,-0.1,-15.9,-4.0,-0.1
2022-08-08T05:40:00,60,FYU,214.78,66.56,-92.75,67.65,18.53,22.35,17.30,85.79,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,GDH,306.47,69.25,39.39,75.25,3.34,14.75,-29.85,91.99,80.4,58.3,115.3,98.8,10.6,115.3
2022-08-08T05:40:00,60,GHB,308.27,64.17,37.85,69.98,3.24,20.02,-25.41,96.05,44.6,4.6,185.8,42.3,-15.0,185.8
2022-08-08T05:40:00,60,GHC,264.15,68.63,-31.68,77.54,22.60,12.46,-5.40,94.78,86.6,25.7,75.0,88.7,17.5,75.0
2022-08-08T05:40:00,60,GIM,265.36,56.38,-26.08,66.16,22.98,23.84,-0.30,106.90,-405.9,-209.4,352.0,-407.0,-207.2,352.0
2022-08-08T05:40:00,60,HAD,355.52,50.98,74.74,47.37,5.70,42.63,-0.93,84.17,-3.5,4.7,-4.7,-3.5,4.8,-4.7
2022-08-08T05:40:00,60,HAN,26.60,62.25,104.72,59.12,7.70,30.88,11.38,66.41,-24.2,-28.7,-17.1,-18.0,-32.9,-17.1
2022-08-08T05:40:00,60,HLP,18.82,54.61,95.32,50.93,7.07,39.07,6.56,69.76,-19.6,-11.4,-1.1,-18.2,-13.5,-1.1
2022-08-08T05:40:00,60,HOP,25.01,76.51,114.59,73.53,8.35,16.47,17.07,70.02,257.4,-41.4,109.8,258.3,36.0,109.8
2022-08-08T05:40:00,60,HRB,18.19,47.86,93.03,42.92,6.92,47.08,5.38,70.28,-22.0,-3.8,3.5,-21.5,-5.8,3.5
2022-08-08T05:40:00,60,HRN,15.60,77.00,108.72,74.52,7.96,15.48,10.71,72.23,216.6,-52.6,81.1,222.6,-11.4,81.1
2022-08-08T05:40:00,60,IGC,278.20,69.30,-5.39,78.43,0.36,11.57,-24.78,94.56,-16.6,7.3,45.1,-12.0,13.6,45.1
2022-08-08T05:40:00,60,IQA,291.48,63.75,15.58,72.21,1.75,17.79,-25.77,99.27,39.8,38.9,151.6,52.8,17.8,151.6
2022-08-08T05:40:00,60,IRT,104.45,52.17,178.45,47.79,12.61,42.21,-4.65,36.59,-33.2,2.7,-1.5,-32.9,5.4,-1.5
2022-08-08T05:40:00,60,ISL,265.34,53.86,-25.79,63.70,23.00,26.30,0.22,109.37,-534.8,-138.0,-175.4,-534.3,-140.1,-175.4
2022-08-08T05:40:00,60,IVA,27.29,68.56,108.61,65.60,7.96,24.40,14.47,67.44,-104.6,-8.2,-59.5,-99.2,-34.1,-59.5
2022-08-08T05:40:00,60,JAN,351.30,70.90,82.78,70.47,6.23,19.53,-6.60,79.60,-170.7,25.7,215.3,-166.7,45.1,215.3
2022-08-08T05:40:00,60,JCK,16.98,66.40,98.94,63.82,7.31,26.18,8.34,71.03,-61.2,-26.9,-77.4,-56.7,-35.5,-77.4
2022-08-08T05:40:00,60,JCO,211.20,70.36,-99.27,70.86,18.10,19.14,15.92,82.74,-13.9,-150.8,-91.4,28.0,-148.9,-91.4
2022-08-08T05:40:00,60,KAR,5.24,59.21,85.69,56.70,6.43,33.30,2.12,76.79,-3.4,-3.9,-37.0,-3.3,-4.0,-37.0
2022-08-08T05:40:00,60,KEV,27.01,69.76,109.22,66.82,8.00,23.18,14.90,67.82,-147.7,27.9,-68.0,-149.9,-11.0,-68.0
2022-08-08T05:40:00,60,KHB,134.69,47.61,-151.91,41.44,14.59,48.56,-12.11,44.46,-31.3,-15.8,15.3,-33.9,-8.9,15.3
2022-08-08T05:40:00,60,KIL,20.77,69.06,103.75,66.37,7.63,23.63,11.17,69.84,-130.0,3.0,-105.2,-128.1,-22.3,-105.2
2022-08-08T05:40:00,60,KIR,20.42,67.84,102.62,65.14,7.56,24.86,10.56,69.82,-80.1,-25.1,-91.9,-74.1,-39.3,-91.9
2022-08-08T05:40:00,60,KUV,302.82,74.57,41.92,80.69,3.51,9.31,-35.54,87.77,65.2,99.7,30.8,111.0,43.3,30.8
2022-08-08T05:40:00,60,LER,358.82,60.13,80.96,58.20,6.11,31.80,-0.79,79.77,-5.6,-1.4,-46.3,-5.6,-1.3,-46.3
2022-08-08T05:40:00,60,LET,247.13,49.64,-50.07,56.88,21.38,33.12,13.10,109.32,-22.9,105.7,14.5,-46.3,97.8,14.5
2022-08-08T05:40:00,60,LON,16.66,45.41,91.18,39.82,6.79,50.18,4.80,71.47,-22.3,-2.2,1.9,-22.0,-4.1,1.9
2022-08-08T05:40:00,60,LRV,338.30,64.18,66.72,65.01,5.16,24.99,-12.29,86.97,-177.9,40.6,-81.6,-165.2,77.5,-81.6
2022-08-08T05:40:00,60,LVV,23.75,49.90,98.46,45.49,7.28,44.51,6.85,66.62,-24.5,-0.9,5.8,-24.2,-3.8,5.8
2022-08-08T05:40:00,60,LYC,18.75,64.61,99.33,61.87,7.34,28.13,8.76,70.19,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,LYR,15.83,78.20,111.03,75.64,8.12,14.36,11.36,72.29,210.7,11.3,7.4,204.4,52.6,7.4
2022-08-08T05:40:00,60,MAS,23.70,69.46,106.36,66.65,7.81,23.35,12.95,68.88,-132.1,30.9,-75.3,-135.6,0.5,-75.3
2022-08-08T05:40:00,60,MEA,246.65,54.62,-52.10,61.85,21.24,28.15,14.32,104.85,-67.9,145.2,-71.4,-101.7,123.9,-71.4
2022-08-08T05:40:00,60,MEK,30.97,62.77,108.66,59.57,7.96,30.43,13.32,64.55,-35.7,-30.2,-17.2,-27.8,-37.6,-17.2
2022-08-08T05:40:00,60,MGD,150.86,59.97,-139.32,54.30,15.43,35.70,-11.74,58.65,-0.8,-14.8,26.1,-3.8,-14.3,26.1
2022-08-08T05:40:00,60,MNK,27.88,54.50,103.27,50.76,7.60,39.24,9.00,64.51,-26.6,-8.5,3.5,-24.9,-12.6,3.5
2022-08-08T05:40:00,60,MUO,23.53,68.02,105.23,65.19,7.73,24.81,12.27,68.69,-79.6,-36.8,-79.9,-70.0,-52.9,-79.9
2022-08-08T05:40:00,60,NAL,11.95,78.92,109.96,76.57,8.05,13.43,8.78,73.11,164.8,-10.8,-40.3,164.5,14.5,-40.3
2022-08-08T05:40:00,60,NAN,298.30,56.40,22.81,63.90,2.24,26.10,-21.52,105.18,-392.1,31.3,112.8,-353.3,172.9,112.8
2022-08-08T05:40:00,60,NAQ,314.56,61.16,43.19,65.75,3.59,24.25,-21.55,96.95,-286.0,52.9,183.2,-246.6,154.3,183.2
2022-08-08T05:40:00,60,NCK,16.72,47.63,91.68,42.60,6.83,47.40,5.05,71.28,-21.9,-3.1,3.5,-21.6,-5.0,3.5
2022-08-08T05:40:00,60,NEW,242.88,48.27,-54.82,54.65,21.06,35.35,14.38,109.00,-25.6,96.6,24.3,-48.7,87.2,24.3
2022-08-08T05:40:00,60,NGK,12.68,52.07,89.28,48.03,6.67,41.97,4.51,73.53,-15.0,-5.3,0.8,-14.6,-6.4,0.8
2022-08-08T05:40:00,60,NOR,25.79,71.09,109.28,68.19,8.00,21.81,14.85,68.52,-242.6,-1.3,-69.6,-234.1,-63.4,-69.6
2022-08-08T05:40:00,60,NR2,24.65,60.50,102.35,57.32,7.54,32.68,9.99,67.06,-24.4,-21.1,-15.3,-20.4,-25.0,-15.3
2022-08-08T05:40:00,60,NUR,24.65,60.50,102.35,57.32,7.54,32.68,9.99,67.06,-22.3,-12.8,-14.8,-19.8,-16.5,-14.8
2022-08-08T05:40:00,60,NVS,82.90,55.03,156.55,51.26,11.15,38.74,8.54,40.27,-36.4,13.4,7.0,-38.0,7.9,7.0
2022-08-08T05:40:00,60,OTT,284.45,45.40,2.52,54.98,0.88,35.02,-13.03,118.03,-26.8,-50.4,-40.9,-37.5,-43.0,-40.9
2022-08-08T05:40:00,60,OUJ,27.23,64.52,106.27,61.47,7.80,28.53,12.59,66.57,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,PAG,24.18,47.49,98.37,42.66,7.27,47.34,6.45,66.25,-28.3,3.6,6.3,-28.6,0.3,6.3
2022-08-08T05:40:00,60,PEL,24.08,66.90,104.97,64.03,7.71,25.97,12.11,68.29,-55.5,-38.9,-60.0,-46.1,-49.7,-60.0
2022-08-08T05:40:00,60,PET,158.25,52.97,-132.07,46.73,15.91,43.27,-7.35,60.33,-18.3,-13.2,13.2,-19.8,-10.7,13.2
2022-08-08T05:40:00,60,PGC,294.20,66.10,20.55,74.09,2.09,15.91,-28.44,96.69,40.6,26.2,104.4,48.2,3.7,104.4
2022-08-08T05:40:00,60,PIN,263.96,50.20,-27.43,59.96,22.89,30.04,1.94,112.76,-30.2,-13.9,-208.9,-29.7,-14.9,-208.9
2022-08-08T05:40:00,60,PKR,212.57,65.12,-93.62,65.79,18.47,24.21,16.44,85.76,158.3,-102.8,-184.7,180.9,-53.8,-184.7
2022-08-08T05:40:00,60,R07,266.34,47.13,-23.72,57.10,23.13,32.90,0.18,116.09,-2.9,9.3,-84.0,-3.0,9.3,-84.0
2022-08-08T05:40:00,60,RAL,256.32,58.22,-40.08,67.00,22.04,23.00,8.32,103.82,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,RES,265.11,74.69,-35.54,82.93,22.35,7.07,-17.87,88.89,125.5,19.3,16.1,125.4,-20.2,16.1
2022-08-08T05:40:00,60,ROE,8.55,55.17,86.80,51.86,6.50,38.14,3.39,75.61,-9.7,-9.9,-13.2,-9.1,-10.5,-13.2
2022-08-08T05:40:00,60,RPB,273.77,66.52,-13.51,75.99,23.82,14.01,-16.44,97.32,46.2,70.6,80.2,64.3,54.6,80.2
2022-08-08T05:40:00,60,RVK,10.99,64.94,93.27,62.61,6.93,27.39,5.02,73.49,-40.4,-12.9,-85.3,-39.2,-16.4,-85.3
2022-08-08T05:40:00,60,SHU,199.54,55.35,-99.73,53.26,18.07,36.74,10.80,83.99,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,SIT,224.67,57.06,-77.83,59.87,19.53,30.13,18.32,95.17,49.5,57.2,159.1,29.0,69.8,159.1
2022-08-08T05:40:00,60,SMI,248.07,60.03,-52.27,67.48,21.23,22.52,14.60,100.46,-251.6,113.0,-62.2,-272.0,45.9,-62.2
2022-08-08T05:40:00,60,SOD,26.63,67.37,107.33,64.41,7.87,25.59,13.58,67.41,-70.1,-43.0,-55.8,-58.1,-58.3,-55.8
2022-08-08T05:40:00,60,SOL,4.84,61.08,86.25,58.82,6.47,31.18,1.90,76.68,-7.6,-10.2,-54.6,-7.2,-10.5,-54.6
2022-08-08T05:40:00,60,SOR,22.22,70.54,106.04,67.80,7.78,22.20,12.55,69.57,-204.8,27.6,-64.3,-205.9,-17.5,-64.3
2022-08-08T05:40:00,60,STF,309.28,67.02,40.87,72.64,3.44,17.36,-27.22,93.39,61.2,9.4,135.9,58.7,-19.6,135.9
2022-08-08T05:40:00,60,STJ,307.32,47.60,31.64,52.60,2.82,37.40,-17.28,110.53,-29.6,-8.5,-14.3,-30.8,0.7,-14.3
2022-08-08T05:40:00,60,SUA,26.25,45.32,99.92,40.18,7.38,49.82,6.38,64.74,-26.1,2.7,6.5,-26.2,-0.2,6.5
2022-08-08T05:40:00,60,SUM,321.70,72.30,59.66,75.76,4.69,14.24,-25.23,86.61,nan,nan,nan,nan,nan,nan
2022-08-08T05:40:00,60,SVS,294.90,76.02,32.87,83.00,2.91,7.00,-39.13,87.16,83.2,89.7,17.8,121.2,17.0,17.8
